ID,prevmarker,prevesp,texto,postesp,postmarker
espacios.txt-1_1,,0,Esta puerta está_es,1,
espacios.txt-1_2,<R>,0,cerrada con llave desde el otro lado_es,0,
espacios.txt-1_3,</R>,0,. Debe ser un acceso especial para el mantenimiento de las tuberías._es,0,
sample.txt-1_1,,0,This is a simple sentence._es,0,
sample.txt-2_1,<T>,0,Time_es,0,
sample.txt-2_2,</T>,1,for a_es,1,
sample.txt-2_3,<G>,0,test_es,0,
sample.txt-2_4,</G>,0,._es,0,
sample.txt-3_1,,0,This text has_es,1,
sample.txt-3_2,<T><i>,0,nested_es,0,
sample.txt-3_3,</i></T>,1,markers._es,0,
sample.txt-4_1,,0,Please upgrade to_es,1,
sample.txt-4_2,{p1},1,to continue._es,0,
sample.txt-6_1,,0,First phrase._es,0,
sample.txt-7_1,,0,Second phrase._es,0,
sample.txt-8_1,<B>,0,Start_es,0,
sample.txt-8_2,</B>,3,and_es,3,
sample.txt-8_3,<Y>,0,End_es,0,
sample.txt-8_4,</Y>,0,._es,0,
sample.txt-9_1,,0,"Let's test quotes "" and backslashes \._es",0,
sample.txt-10_1,</T>,1,more call(s) today._es,0,
sample.txt-10_2,</T>,1,more call(s) today._es,0,
sample.txt-10_3,{x1},0,,0,
sample.txt-11_1,,0,13:00–18:00_es,0,
sample.txt-12_1,,0,"Hmm, you're in luck._es",1,
sample.txt-12_2,{x1},1,,0,
sample.txt-12_3,<T>,0,won_es,0,
sample.txt-12_4,</T>,1,this fight._es,0,
